,year,month,export_value,GDP_constant,import_value,inflation_percentage_change,interest_rate,manufac_prod_index,population,unemployment_rate,exchange_rate,consumer_price_index
49,2005,2,372426.0,571846.0,391938.0,0.54,0.75,74.85,62005305.0,2.29,38.48,74.0
50,2005,3,372426.0,571846.0,391938.0,1.08,0.75,78.49,62029314.0,2.08,38.61,74.8
51,2005,4,396707.0,554665.0,421741.0,0.67,0.75,80.29,62059903.0,2.21,39.53,75.3
52,2005,5,396707.0,554665.0,421741.0,0.66,0.75,79.52,62121368.0,2.03,39.84,75.8
53,2005,6,396707.0,554665.0,421741.0,0.26,0.75,82.05,62164389.0,1.93,40.92,76.0
54,2005,7,408489.0,557367.0,400527.0,1.58,0.75,81.07,62203566.0,1.43,41.76,77.2
55,2005,8,408489.0,557367.0,400527.0,0.65,0.75,81.2,62271043.0,1.36,41.19,77.7
56,2005,9,408489.0,557367.0,400527.0,0.64,0.75,83.32,62299195.0,1.3,41.05,78.2
57,2005,10,393354.0,598985.0,406065.0,0.38,0.75,81.87,62353900.0,1.77,40.91,78.5
58,2005,11,393354.0,598985.0,406065.0,-0.76,0.75,81.96,62383751.0,1.22,41.12,77.9
59,2005,12,393354.0,598985.0,406065.0,-0.13,0.75,82.38,62418042.0,1.37,41.07,77.8
60,2006,1,422379.0,603354.0,409178.0,0.26,0.75,81.42,62012730.0,2.16,39.62,78.0
61,2006,2,422379.0,603354.0,409178.0,0.13,0.75,84.78,62467643.0,1.55,39.41,78.1
62,2006,3,422379.0,603354.0,409178.0,1.15,0.75,86.77,62487838.0,1.8,38.98,79.0
63,2006,4,427318.0,579435.0,415366.0,1.14,0.75,84.07,62403519.0,2.1,37.99,79.9
64,2006,5,427318.0,579435.0,415366.0,0.75,0.75,86.63,62559588.0,1.39,38.01,80.5
65,2006,6,427318.0,579435.0,415366.0,0.0,0.75,87.43,62599957.0,1.54,38.35,80.5
66,2006,7,441777.0,582253.0,419115.0,0.25,0.75,85.87,62632598.0,1.13,38.0,80.7
