id,month,unemployment_rate,year
228,December, 0.96 ,2019
229,January, 1.07 ,2020
230,February, 1.09 ,2020
231,March, 1.03 ,2020
232,April, n.a. ,2020
233,May, n.a. ,2020
234,June, n.a. ,2020
235,July, 2.15 ,2020
236,August, 1.86 ,2020
237,September, 1.79 ,2020
238,October, 2.09 ,2020
239,November, 2.00 ,2020
240,December, 1.49 ,2020
