id,month,consumer_price_index,year
200,August, 98.04 ,2017
201,September, 98.61 ,2017
202,October, 98.76 ,2017
203,November, 98.83 ,2017
204,December, 98.75 ,2017
205,January, 98.82 ,2018
206,February, 98.60 ,2018
207,March, 98.51 ,2018
208,April, 98.95 ,2018
209,May, 99.50 ,2018
210,June, 99.42 ,2018
211,July, 99.37 ,2018
212,August, 99.63 ,2018
213,September, 99.92 ,2018
214,October, 99.98 ,2018
215,November, 99.76 ,2018
216,December, 99.10 ,2018
217,January, 99.08 ,2019
218,February, 99.32 ,2019
219,March, 99.73 ,2019
220,April, 100.17 ,2019
221,May, 100.64 ,2019
222,June, 100.28 ,2019
223,July, 100.34 ,2019
224,August, 100.15 ,2019
225,September, 100.24 ,2019
226,October, 100.09 ,2019
227,November, 99.96 ,2019
228,December, 99.97 ,2019
229,January, 100.13 ,2020
230,February, 100.05 ,2020
231,March, 99.19 ,2020
232,April, 97.17 ,2020
233,May, 97.18 ,2020
234,June, 98.70 ,2020
235,July, 99.36 ,2020
236,August, 99.65 ,2020
237,September, 99.54 ,2020
238,October, 99.59 ,2020
239,November, 99.55 ,2020
240,December, 99.70 ,2020
