id,month,inflation_percentage_change,year
228,December,0.01%,2019
229,January,0.16%,2020
230,February,-0.08%,2020
231,March,-0.86%,2020
232,April,-2.04%,2020
233,May,0.01%,2020
234,June,1.56%,2020
235,July,0.67%,2020
236,August,0.29%,2020
237,September,-0.11%,2020
238,October,0.05%,2020
239,November,-0.04%,2020
240,December,0.15%,2020
