id,month,GDP_constant,year
200,August," 821,216 ",2017
201,September," 821,216 ",2017
202,October," 887,527 ",2017
203,November," 887,527 ",2017
204,December," 887,527 ",2017
205,January," 924,091 ",2018
206,February," 924,091 ",2018
207,March," 924,091 ",2018
208,April," 870,261 ",2018
209,May," 870,261 ",2018
210,June," 870,261 ",2018
211,July," 847,805 ",2018
212,August," 847,805 ",2018
213,September," 847,805 ",2018
214,October," 922,245 ",2018
215,November," 922,245 ",2018
216,December," 922,245 ",2018
217,January," 948,618 ",2019
218,February," 948,618 ",2019
219,March," 948,618 ",2019
220,April," 890,065 ",2019
221,May," 890,065 ",2019
222,June," 890,065 ",2019
223,July," 869,502 ",2019
224,August," 869,502 ",2019
225,September," 869,502 ",2019
226,October," 932,910 ",2019
227,November," 932,910 ",2019
228,December," 932,910 ",2019
229,January," 927,436 ",2020
230,February," 927,436 ",2020
231,March," 927,436 ",2020
232,April," 780,539 ",2020
233,May," 780,539 ",2020
234,June," 780,539 ",2020
235,July," 813,715 ",2020
236,August," 813,715 ",2020
237,September," 813,715 ",2020
238,October," 893,821 ",2020
239,November," 893,821 ",2020
240,December," 893,821 ",2020
