id,month,manufac_prod_index,year
199,July, 100.58 ,2017
200,August, 104.29 ,2017
201,September, 103.22 ,2017
202,October, 100.09 ,2017
203,November, 103.67 ,2017
204,December, 103.72 ,2017
205,January, 103.44 ,2018
206,February, 104.20 ,2018
207,March, 105.86 ,2018
208,April, 103.49 ,2018
209,May, 107.05 ,2018
210,June, 107.54 ,2018
211,July, 107.41 ,2018
212,August, 108.90 ,2018
213,September, 105.50 ,2018
214,October, 107.57 ,2018
215,November, 108.41 ,2018
216,December, 103.80 ,2018
217,January, 104.07 ,2019
218,February, 103.23 ,2019
219,March, 103.68 ,2019
220,April, 105.28 ,2019
221,May, 103.78 ,2019
222,June, 101.92 ,2019
223,July, 104.63 ,2019
224,August, 103.71 ,2019
225,September, 100.00 ,2019
226,October, 99.15 ,2019
227,November, 98.12 ,2019
228,December, 98.59 ,2019
229,January, 100.11 ,2020
230,February, 99.23 ,2020
231,March, 94.09 ,2020
232,April, 82.58 ,2020
233,May, 78.79 ,2020
234,June, 83.12 ,2020
235,July, 89.13 ,2020
236,August, 92.85 ,2020
237,September, 95.58 ,2020
238,October, 97.29 ,2020
239,November, 96.20 ,2020
240,December, 96.28 ,2020
