id,month,import_value,year
200,August," 569,358 ",2017
201,September," 569,358 ",2017
202,October," 586,714 ",2017
203,November," 586,714 ",2017
204,December," 586,714 ",2017
205,January," 600,055 ",2018
206,February," 600,055 ",2018
207,March," 600,055 ",2018
208,April," 616,170 ",2018
209,May," 616,170 ",2018
210,June," 616,170 ",2018
211,July," 630,190 ",2018
212,August," 630,190 ",2018
213,September," 630,190 ",2018
214,October," 614,578 ",2018
215,November," 614,578 ",2018
216,December," 614,578 ",2018
217,January," 592,813 ",2019
218,February," 592,813 ",2019
219,March," 592,813 ",2019
220,April," 595,934 ",2019
221,May," 595,934 ",2019
222,June," 595,934 ",2019
223,July," 588,499 ",2019
224,August," 588,499 ",2019
225,September," 588,499 ",2019
226,October," 558,514 ",2019
227,November," 558,514 ",2019
228,December," 558,514 ",2019
229,January," 566,317 ",2020
230,February," 566,317 ",2020
231,March," 566,317 ",2020
232,April," 456,511 ",2020
233,May," 456,511 ",2020
234,June," 456,511 ",2020
235,July," 468,243 ",2020
236,August," 468,243 ",2020
237,September," 468,243 ",2020
238,October," 512,104 ",2020
239,November," 512,104 ",2020
240,December," 512,104 ",2020
