id,month,population,year
175,July," 65,277,757 ",2015
176,August," 65,305,772 ",2015
177,September," 65,338,177 ",2015
178,October," 65,678,552 ",2015
179,November," 65,705,163 ",2015
180,December," 65,729,098 ",2015
181,January," 65,749,209 ",2016
182,February," 65,764,010 ",2016
183,March," 65,780,834 ",2016
184,April," 65,790,679 ",2016
185,May," 65,807,410 ",2016
186,June," 65,793,711 ",2016
187,July," 65,805,267 ",2016
188,August," 65,830,449 ",2016
189,September," 65,858,119 ",2016
190,October," 65,881,730 ",2016
191,November," 65,907,885 ",2016
192,December," 65,931,550 ",2016
193,January," 65,948,260 ",2017
194,February," 65,962,264 ",2017
195,March," 65,984,008 ",2017
196,April," 66,004,278 ",2017
197,May," 66,026,591 ",2017
198,June," 66,046,557 ",2017
199,July," 66,065,817 ",2017
200,August," 66,091,049 ",2017
201,September," 66,118,578 ",2017
202,October," 66,143,621 ",2017
203,November," 66,168,799 ",2017
204,December," 66,188,503 ",2017
205,January," 66,205,110 ",2018
206,February," 66,218,164 ",2018
207,March," 66,236,461 ",2018
208,April," 66,252,815 ",2018
209,May," 66,270,678 ",2018
210,June," 66,287,599 ",2018
211,July," 66,305,833 ",2018
212,August," 66,329,785 ",2018
213,September," 66,353,911 ",2018
214,October," 66,377,264 ",2018
215,November," 66,397,730 ",2018
216,December," 66,413,979 ",2018
217,January," 66,427,774 ",2019
218,February," 66,437,119 ",2019
219,March," 66,447,273 ",2019
220,April," 66,453,499 ",2019
221,May," 66,465,053 ",2019
222,June," 66,476,548 ",2019
223,July," 66,489,259 ",2019
224,August," 66,507,282 ",2019
225,September," 66,523,642 ",2019
226,October," 66,538,801 ",2019
227,November," 66,551,409 ",2019
228,December," 66,558,935 ",2019
229,January," 66,566,214 ",2020
230,February," 66,571,782 ",2020
231,March," 66,578,309 ",2020
232,April," 66,586,867 ",2020
233,May," 66,586,964 ",2020
234,June," 66,550,206 ",2020
235,July," 66,533,253 ",2020
236,August," 66,481,068 ",2020
237,September," 66,182,969 ",2020
238,October," 66,182,634 ",2020
239,November," 66,187,747 ",2020
240,December," 66,186,727 ",2020
